country_name,asd_code,state_alpha,location_desc,reference_period_desc,state_fips_code,county_ansi,util_practice_desc,domain_desc,freq_desc,congr_district_code,year,unit_desc,region_desc,state_ansi,week_ending,county_code,begin_code,county_name,end_code,Value,zip_5,class_desc,watershed_code,watershed_desc,agg_level_desc,state_name,country_code,load_time,sector_desc,asd_desc,prodn_practice_desc,group_desc,commodity_desc,CV (%),domaincat_desc,short_desc,statisticcat_desc,source_desc
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,33,,,00,,00,"30,017,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,33,,,00,,00,"39,534,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,14.3,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,33,,,00,,00,"33,080,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,5.9,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,33,,,00,,00,"25,479,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,4.8,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,33,,,00,,00,"23,779,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,33,,,00,,00,"16,450,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,33,,,00,,00,"21,125,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,33,,,00,,00,"138,969,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,7.8,NAICS CLASSIFICATION: (111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,33,,,00,,00,"101,292,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,8.2,NAICS CLASSIFICATION: (111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NH,NEW HAMPSHIRE,YEAR,33,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,33,,,00,,00,"93,962,000",,ALL CLASSES,00000000,,STATE,NEW HAMPSHIRE,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,CROP TOTALS,5.5,NAICS CLASSIFICATION: (111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
